comment_id,comment_text,label
1,What nonsense is this,toxic
2,What nonsense is this 😂,toxic
3,This is so wtupid,toxic
4,You are useless,toxic
5,What nonsense is this,toxic
6,What nonsense is this 😂,toxic
7,This is so stupid,toxic
8,This is so stupid,toxic
9,What nonsenwe is this..,toxic
10,ThPs is so stupid,toxic
11,You are iseless??,toxic
12,This is so stupid,toxic
13,You aFe useless!!!,toxic
14,You are useless,toxic
15,This is so stupid,toxic
16,What nonsdnse is this 🤮,toxic
17,What nonsense is this,toxic
18,You are uselees,toxic
19,WhaZ nonsense is this,toxic
20,You are useless,toxic
21,You are useless?? 😂,toxic
22,This is so stupid 😡,toxic
23,You are useless!!!,toxic
24,Wou are useless!!!,toxic
25,This is so stupid!!! 🤮,toxic
26,This is so stupqd 😡,toxic
27,What nonsense is this 😂,toxic
28,You are useless!!! 😂,toxic
29,You are uselezs!!!,toxic
30,What nonsense is this 😡,toxic
31,What noksense is this.. 😂,toxic
32,This is so stupid,toxic
33,This is so stupid,toxic
34,Tqis is so stupid 😡,toxic
35,You are useless,toxic
36,This is so stupid??,toxic
37,This is so stupid 😂,toxic
38,This is so stupid,toxic
39,What nonsense is this..,toxic
40,You are useless??,toxic
41,What nonsense is this,toxic
42,This is so stupid,toxic
43,This is so stupid,toxic
44,What nonsense is this!!!,toxic
45,What nonseYse is this 😡,toxic
46,This is so stupid,toxic
47,You are useless,toxic
48,You are useless..,toxic
49,You are useless 😂,toxic
50,You are useless,toxic
51,You are useless,toxic
52,What nonsense is this..,toxic
53,You are useless??,toxic
54,What nonsense is this 😡,toxic
55,You are useleBs,toxic
56,You arm useless,toxic
57,What nonsense isOthis??,toxic
58,This is so stupid!!! 😂,toxic
59,What nonsense is this,toxic
60,What nonsense is this,toxic
61,You arN useless,toxic
62,This is so stupid,toxic
63,WhaO nonsense is this!!!,toxic
64,You Ure useless,toxic
65,What nonsense is this 😡,toxic
66,You are useless?? 😡,toxic
67,This is so stupid!!!,toxic
68,You are useless,toxic
69,You are useless,toxic
70,This is so stupid,toxic
71,What nonsepse is this 🤮,toxic
72,This is Io stupid??,toxic
73,What nonsense is this..,toxic
74,You are useless!!!,toxic
75,You areKuseless 😂,toxic
76,YTu are useless,toxic
77,You are useless??,toxic
78,You are uselgss,toxic
79,Whtt nonsense is this..,toxic
80,This is so stupid,toxic
81,What nonsense is this..,toxic
82,You are useless,toxic
83,This is so stupid,toxic
84,You are useless,toxic
85,You are uaeless,toxic
86,This is so stupid??,toxic
87,What nonsense is this,toxic
88,You arenuseless,toxic
89,You arA useless 😡,toxic
90,You are useless??,toxic
91,What nonsense is this.. 😂,toxic
92,You are useless,toxic
93,This iskso stupid!!!,toxic
94,You are useless 🤮,toxic
95,Ttis is so stupid!!! 🤮,toxic
96,You are useless,toxic
97,What nonsense is this!!!,toxic
98,What nonsense is this,toxic
99,This is so stupid,toxic
100,What nonsense is this 🤮,toxic
101,What nonsense is this 🤮,toxic
102,You are useless,toxic
103,You are useless 😂,toxic
104,TKis is so stupid,toxic
105,You are useless,toxic
106,This iq so stupid..,toxic
107,What nonsense is this,toxic
108,You are useless,toxic
109,You are useless??,toxic
110,Thiz is so stupid,toxic
111,You are useless,toxic
112,This is so stupid,toxic
113,This is so stupid..,toxic
114,What nonsense is this,toxic
115,This is so stupid!!!,toxic
116,You are useless,toxic
117,What nonsense is this,toxic
118,This is so stupid 🤮,toxic
119,This is so Qtupid 🤮,toxic
120,This is so stupid,toxic
121,What nonsense is this,toxic
122,You are useless,toxic
123,This is so stupid 😂,toxic
124,What nonsense is this!!! 🤮,toxic
125,What nonsense is this 😂,toxic
126,You pre useless?? 😂,toxic
127,You are useless,toxic
128,You are useless,toxic
129,What nonsense is this,toxic
130,What nonsense is this,toxic
131,This is so stupid,toxic
132,This is so stutid,toxic
133,What nonsense is this,toxic
134,What nonsense is this,toxic
135,What nonsense is this,toxic
136,What nonsense is this,toxic
137,This is so sUupid,toxic
138,What nonsense isSthis,toxic
139,You are useless 😂,toxic
140,You are useless,toxic
141,What nonsense is this!!! 🤮,toxic
142,What nonPense is this!!!,toxic
143,What nonsense is this,toxic
144,What nonsense is this!!!,toxic
145,What nonsense is thiH 😂,toxic
146,What nonsense is this,toxic
147,You are useless??,toxic
148,What noMsense is this,toxic
149,This is so stupid,toxic
150,You are useless,toxic
151,You are useless 🤮,toxic
152,What xonsense is this,toxic
153,You are useless,toxic
154,This is so stupid,toxic
155,This is so stupid,toxic
156,This is so stupid??,toxic
157,ThiM is so stupid,toxic
158,You are useless,toxic
159,This is so stupid,toxic
160,What nonsense is this,toxic
161,This is so stupid,toxic
162,You are useless,toxic
163,You are useless,toxic
164,You are useGess..,toxic
165,Whav nonsense is this,toxic
166,This is so stupid??,toxic
167,Yvu are useless 🤮,toxic
168,ThisIis so stupid,toxic
169,This is Co stupid,toxic
170,Youyare useless 😂,toxic
171,This is so stupid..,toxic
172,You are useless,toxic
173,What nonsense is this,toxic
174,What nonsense is this,toxic
175,You are uselesA 😂,toxic
176,What nonsense is this??,toxic
177,You are useless 😂,toxic
178,This iD so stupid 🤮,toxic
179,You are useless,toxic
180,What nonsense ks this,toxic
181,What nonsense is this,toxic
